NewUsed,Year,Make,Model,ModelNumber,ExteriorColor,EngineCylinders,Trim,Doors,VIN,SellingPrice,Miles,Certified,EPACity,EPAHighway,FuelType,DriveTrain,TransmissionDescription
NEW,2023,Jeep,Compass,MPJM74,Bright White Clearcoat,4,Latitude 4x4,4,3C4NJDBN9PT502103,35885,7,FALSE,24,32,Gasoline,Four Wheel Drive,8-Speed Automatic
NEW,2023,Ram,2500,DJ7L62,Bright White Clearcoat,8,Tradesman 4x4 Reg Cab 8' Box,2,3C6MR5AJ9PG518147,57180,5,FALSE,,,Gasoline,Four Wheel Drive,8-Speed Automatic
NEW,2023,Jeep,Grand Cherokee L,WLJT75,Bright White Clearcoat,6,Summit Reserve 4x4,4,1C4RJKETXP8725376,78380,15,FALSE,14,22,Gasoline,Four Wheel Drive,8-Speed Automatic
NEW,2023,Jeep,Grand Cherokee 4xe,WLXR74,Baltic Gray Metallic Clearcoat,4,Trailhawk 4x4,4,1C4RJYC66P8784313,68995,14,FALSE,,,Hybrid,Four Wheel Drive,8-Speed Automatic
NEW,2023,Jeep,Renegade,BVJM74,Alpine White Clearcoat,4,Altitude 4x4,4,ZACNJDE10PPP10500,35030,11,FALSE,23,29,Gasoline,Four Wheel Drive,9-Speed 948TE Automatic
NEW,2023,Ram,2500,DJ7X91,Olive Green Pearlcoat,8,"Power Wagon 4x4 Crew Cab 6'4"" Box",4,3C6TR5EJ3PG517551,83250,0,FALSE,,,Gasoline,Four Wheel Drive,8-Speed Automatic
NEW,2023,Ram,ProMaster Cargo Van,VF2L13,Bright White Clearcoat,6,"2500 High Roof 136"" WB",3,3C6LRVCGXPE529859,54485,0,FALSE,,,Gasoline,Front Wheel Drive,9-Speed 948TE Automatic
NEW,2023,Ram,1500,DT6P98,Bright White Clearcoat,6,"Laramie 4x4 Crew Cab 5'7"" Box",4,1C6SRFJT9PN555723,66300,5,FALSE,17,22,Gasoline,Four Wheel Drive,8-Speed Automatic
NEW,2023,Dodge,Durango,WDES75,Destroyer Gray Clearcoat,8,R/T Plus AWD,4,1C4SDJCT0PC581890,61775,5,FALSE,14,22,Gasoline,All Wheel Drive,8-Speed Automatic
NEW,2023,Ram,2500,DJ7P81,Diamond Black Crystal Pearlcoat,8,"Laramie 4x4 Mega Cab 6'4"" Box",4,3C6UR5NL0PG516640,90035,31,FALSE,,,Diesel,Four Wheel Drive,6-Speed Automatic
NEW,2023,Jeep,Renegade,BVJM74,Alpine White Clearcoat,4,Altitude 4x4,4,ZACNJDE1XPPP11198,37625,12,FALSE,23,29,Gasoline,Four Wheel Drive,9-Speed 948TE Automatic
NEW,2023,Ram,1500,DT6X98,Bright White Clearcoat,6,"Rebel 4x4 Crew Cab 5'7"" Box",4,1C6SRFLT7PN567771,63415,14,FALSE,17,22,Gasoline,Four Wheel Drive,8-Speed Automatic
NEW,2023,Jeep,Compass,MPJM74,Diamond Black Crystal Pearlcoat,4,Latitude 4x4,4,3C4NJDBN5PT526818,36380,12,FALSE,24,32,Gasoline,Four Wheel Drive,8-Speed Automatic
NEW,2023,Jeep,Grand Cherokee 4xe,WLXS74,Diamond Black Crystal Pearlcoat,4,Overland 4x4,4,1C4RJYD65P8849165,72325,0,FALSE,,,Hybrid,Four Wheel Drive,8-Speed Automatic
NEW,2023,Ram,1500,DT6X98,Bright White Clearcoat,6,"Rebel 4x4 Crew Cab 5'7"" Box",4,1C6SRFLT1PN581505,66325,7,FALSE,17,22,Gasoline,Four Wheel Drive,8-Speed Automatic
NEW,2023,Jeep,Compass,MPJM74,Bright White Clearcoat,4,Latitude 4x4,4,3C4NJDBN6PT528075,35885,5,FALSE,24,32,Gasoline,Four Wheel Drive,8-Speed Automatic
NEW,2023,Ram,1500,DT6X98,Granite Crystal Metallic Clearcoat,6,"Rebel 4x4 Crew Cab 5'7"" Box",4,1C6SRFLT5PN581510,66575,15,FALSE,17,22,Gasoline,Four Wheel Drive,8-Speed Automatic
NEW,2023,Jeep,Compass,MPJM74,Diamond Black Crystal Pearlcoat,4,Latitude 4x4,4,3C4NJDBN4PT528088,36380,5,FALSE,24,32,Gasoline,Four Wheel Drive,8-Speed Automatic
USED,2022,Ram,1500,DT6H98,Bright White Clearcoat,6,"Big Horn 4x4 Crew Cab 5'7"" Box",4,1C6SRFFT0NN410110,54888,4618,FALSE,18,22,Gasoline,Four Wheel Drive,8-Speed Automatic
USED,2020,Jeep,Compass,MPJP74,Jazz Blue Pearlcoat,4,High Altitude 4x4,4,3C4NJDCBXLT128017,29888,37449,FALSE,22,30,Gasoline,Four Wheel Drive,9-Speed 948TE Automatic
NEW,2023,Ram,1500,DT6M98,Diamond Black Crystal Pearlcoat,8,"Limited 4x4 Crew Cab 5'7"" Box",4,1C6SRFHM7PN513680,84860,14,FALSE,21,29,Diesel,Four Wheel Drive,8-Speed Automatic
NEW,2023,Jeep,Compass,MPJM74,Bright White Clearcoat,4,Latitude 4x4,4,3C4NJDBNXPT528077,35885,5,FALSE,24,32,Gasoline,Four Wheel Drive,8-Speed Automatic
NEW,2023,Jeep,Wrangler,JLJP74,Earl Clearcoat,4,Sahara Altitude 4 Door 4x4,4,1C4HJXEN7PW651789,56165,12,FALSE,21,24,Gasoline,Four Wheel Drive,8-Speed Automatic
USED,2022,Chrysler,300,LXFH48,Bright White Clearcoat,6,Touring AWD,4,2C3CCARG3NH174503,38988,13676,FALSE,18,27,Gasoline,All Wheel Drive,8-Speed Automatic
NEW,2023,Ram,1500,DT6X98,Bright White Clearcoat,6,"Rebel 4x4 Crew Cab 5'7"" Box",4,1C6SRFLT3PN581506,66325,16,FALSE,17,22,Gasoline,Four Wheel Drive,8-Speed Automatic
NEW,2023,Jeep,Compass,MPJM74,Diamond Black Crystal Pearlcoat,4,Latitude 4x4,4,3C4NJDBN2PT528087,36380,6,FALSE,24,32,Gasoline,Four Wheel Drive,8-Speed Automatic
NEW,2023,Jeep,Grand Cherokee 4xe,WLXT74,Bright White Clearcoat,4,Summit Reserve 4x4,4,1C4RJYE6XP8836944,81105,12,FALSE,,,Hybrid,Four Wheel Drive,8-Speed Automatic
NEW,2023,Jeep,Compass,MPJM74,Diamond Black Crystal Pearlcoat,4,Latitude 4x4,4,3C4NJDBN0PT528086,36380,6,FALSE,24,32,Gasoline,Four Wheel Drive,8-Speed Automatic
NEW,2023,Jeep,Renegade,BVJM74,Alpine White Clearcoat,4,Altitude 4x4,4,ZACNJDE14PPP16106,35030,11,FALSE,23,29,Gasoline,Four Wheel Drive,9-Speed 948TE Automatic
